location_id,time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),rain (mm)
0,2025-09-19T00:00,19.5,75.0,14.9,1017.3,19.6,256.0,0.0
0,2025-09-19T01:00,19.2,76.0,14.9,1017.5,19.0,255.0,0.0
0,2025-09-19T02:00,18.9,78.0,14.9,1017.8,18.1,253.0,0.0
0,2025-09-19T03:00,18.4,80.0,14.9,1018.2,17.0,249.0,0.0
0,2025-09-19T04:00,18.0,82.0,14.9,1018.6,15.9,245.0,0.0
0,2025-09-19T05:00,17.9,83.0,14.9,1018.8,15.1,242.0,0.0
0,2025-09-19T06:00,17.9,83.0,14.9,1019.1,14.5,240.0,0.0
0,2025-09-19T07:00,18.2,81.0,14.9,1019.4,14.3,242.0,0.0
0,2025-09-19T08:00,18.9,77.0,14.8,1019.6,14.7,245.0,0.0
0,2025-09-19T09:00,19.8,73.0,14.8,1019.8,15.0,249.0,0.0
0,2025-09-19T10:00,20.5,69.0,14.7,1019.9,15.5,252.0,0.0
0,2025-09-19T11:00,21.2,66.0,14.6,1020.0,15.3,255.0,0.0
0,2025-09-19T12:00,21.6,64.0,14.5,1020.0,14.5,256.0,0.0
0,2025-09-19T13:00,21.6,65.0,14.7,1019.9,12.8,254.0,0.0
0,2025-09-19T14:00,21.4,66.0,14.8,1019.7,10.2,247.0,0.0
0,2025-09-19T15:00,21.0,69.0,15.1,1019.4,7.4,231.0,0.0
0,2025-09-19T16:00,20.6,73.0,15.6,1019.1,5.6,207.0,0.0
0,2025-09-19T17:00,20.1,76.0,15.8,1018.8,5.8,176.0,0.0
0,2025-09-19T18:00,19.7,78.0,15.8,1018.5,7.0,159.0,0.0
0,2025-09-19T19:00,19.3,80.0,15.8,1018.2,8.0,153.0,0.0
0,2025-09-19T20:00,18.8,81.0,15.5,1017.8,9.0,151.0,0.0
0,2025-09-19T21:00,18.4,83.0,15.4,1017.4,10.0,154.0,0.0
0,2025-09-19T22:00,17.9,84.0,15.1,1017.0,10.5,158.0,0.0
0,2025-09-19T23:00,17.4,85.0,14.9,1016.5,11.0,161.0,0.0
0,2025-09-20T00:00,17.0,85.0,14.5,1016.1,11.6,164.0,0.0
0,2025-09-20T01:00,16.6,85.0,14.1,1015.7,11.8,168.0,0.0
0,2025-09-20T02:00,16.1,84.0,13.4,1015.2,12.0,173.0,0.0
0,2025-09-20T03:00,15.6,82.0,12.5,1014.7,11.9,178.0,0.0
0,2025-09-20T04:00,15.3,80.0,11.9,1014.3,11.9,183.0,0.0
0,2025-09-20T05:00,15.3,78.0,11.5,1013.8,12.1,190.0,0.0
0,2025-09-20T06:00,15.8,75.0,11.4,1013.3,12.2,194.0,0.0
0,2025-09-20T07:00,17.0,71.0,11.8,1012.9,12.4,197.0,0.0
0,2025-09-20T08:00,19.0,65.0,12.3,1012.5,12.6,200.0,0.0
0,2025-09-20T09:00,21.3,58.0,12.7,1012.0,12.8,202.0,0.0
0,2025-09-20T10:00,23.5,52.0,13.1,1011.6,13.0,204.0,0.0
0,2025-09-20T11:00,25.4,48.0,13.6,1011.2,13.0,204.0,0.0
0,2025-09-20T12:00,26.5,45.0,13.6,1010.7,13.0,204.0,0.0
0,2025-09-20T13:00,26.7,45.0,13.8,1010.2,12.8,202.0,0.0
0,2025-09-20T14:00,26.3,48.0,14.4,1009.7,12.5,198.0,0.0
0,2025-09-20T15:00,25.5,52.0,14.9,1009.3,12.1,192.0,0.0
0,2025-09-20T16:00,24.5,56.0,15.2,1008.8,12.3,187.0,0.0
0,2025-09-20T17:00,23.6,59.0,15.1,1008.4,11.9,183.0,0.0
0,2025-09-20T18:00,23.0,62.0,15.3,1008.1,11.9,182.0,0.0
0,2025-09-20T19:00,22.5,63.0,15.2,1007.9,11.6,185.0,0.0
0,2025-09-20T20:00,22.2,64.0,15.1,1007.7,11.4,193.0,0.0
0,2025-09-20T21:00,21.9,64.0,14.8,1007.7,11.2,201.0,0.0
0,2025-09-20T22:00,21.6,63.0,14.3,1007.6,11.6,210.0,0.0
0,2025-09-20T23:00,21.4,63.0,14.1,1007.5,12.1,217.0,0.0
0,2025-09-21T00:00,21.1,64.0,14.1,1007.3,12.3,220.0,0.0
0,2025-09-21T01:00,20.8,65.0,14.0,1007.1,12.0,219.0,0.0
0,2025-09-21T02:00,20.4,67.0,14.1,1006.9,12.2,214.0,0.0
0,2025-09-21T03:00,20.0,69.0,14.1,1006.6,11.8,207.0,0.0
0,2025-09-21T04:00,19.7,71.0,14.3,1006.4,12.0,201.0,0.0
0,2025-09-21T05:00,19.6,72.0,14.4,1006.2,11.7,198.0,0.0
0,2025-09-21T06:00,19.8,72.0,14.6,1006.0,11.8,200.0,0.0
0,2025-09-21T07:00,20.5,71.0,15.1,1005.8,12.1,207.0,0.0
0,2025-09-21T08:00,21.8,68.0,15.6,1005.7,12.8,220.0,0.0
0,2025-09-21T09:00,23.1,65.0,16.2,1005.5,14.3,231.0,0.0
0,2025-09-21T10:00,24.5,61.0,16.5,1005.4,16.4,241.0,0.0
0,2025-09-21T11:00,25.5,58.0,16.6,1005.3,18.5,249.0,0.0
0,2025-09-21T12:00,25.8,56.0,16.3,1005.5,19.7,255.0,0.0
0,2025-09-21T13:00,25.2,55.0,15.6,1005.9,20.4,261.0,0.0
0,2025-09-21T14:00,24.2,53.0,14.0,1006.4,20.9,266.0,0.0
0,2025-09-21T15:00,22.8,52.0,12.4,1007.1,20.9,272.0,0.0
0,2025-09-21T16:00,21.2,52.0,11.0,1007.8,21.0,277.0,0.0
0,2025-09-21T17:00,19.6,53.0,9.8,1008.5,21.0,283.0,0.0
0,2025-09-21T18:00,18.5,54.0,9.0,1009.1,20.7,287.0,0.0
0,2025-09-21T19:00,17.5,57.0,8.9,1009.7,20.2,292.0,0.1
0,2025-09-21T20:00,16.6,61.0,9.0,1010.2,19.3,297.0,0.1
