latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),wind_speed_10m (km/h),wind_direction_10m (°),precipitation_probability (%),rain (mm)
2025-09-03T00:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T01:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T02:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2025-09-03T03:00,NaN,NaN,NaN,NaN,NaN,6,NaN
2025-09-03T04:00,NaN,NaN,NaN,NaN,NaN,5,NaN
2025-09-03T05:00,NaN,NaN,NaN,NaN,NaN,2,NaN
2025-09-03T06:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T07:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T08:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T09:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T10:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T11:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T12:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T13:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T14:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T15:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T16:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T17:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T18:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T19:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T20:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T21:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T22:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-03T23:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T00:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T01:00,NaN,NaN,NaN,NaN,NaN,8,NaN
2025-09-04T02:00,NaN,NaN,NaN,NaN,NaN,18,NaN
2025-09-04T03:00,NaN,NaN,NaN,NaN,NaN,23,NaN
2025-09-04T04:00,NaN,NaN,NaN,NaN,NaN,18,NaN
2025-09-04T05:00,NaN,NaN,NaN,NaN,NaN,8,NaN
2025-09-04T06:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T07:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T08:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T09:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T10:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T11:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T12:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T13:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T14:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T15:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T16:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-04T17:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2025-09-04T18:00,NaN,NaN,NaN,NaN,NaN,3,NaN
2025-09-04T19:00,NaN,NaN,NaN,NaN,NaN,4,NaN
2025-09-04T20:00,NaN,NaN,NaN,NaN,NaN,7,NaN
2025-09-04T21:00,NaN,NaN,NaN,NaN,NaN,16,NaN
2025-09-04T22:00,NaN,NaN,NaN,NaN,NaN,39,NaN
2025-09-04T23:00,NaN,NaN,NaN,NaN,NaN,68,NaN
2025-09-05T00:00,NaN,NaN,NaN,NaN,NaN,90,NaN
2025-09-05T01:00,NaN,NaN,NaN,NaN,NaN,98,NaN
2025-09-05T02:00,NaN,NaN,NaN,NaN,NaN,100,NaN
2025-09-05T03:00,NaN,NaN,NaN,NaN,NaN,100,NaN
2025-09-05T04:00,NaN,NaN,NaN,NaN,NaN,100,NaN
2025-09-05T05:00,NaN,NaN,NaN,NaN,NaN,100,NaN
2025-09-05T06:00,NaN,NaN,NaN,NaN,NaN,100,NaN
2025-09-05T07:00,NaN,NaN,NaN,NaN,NaN,92,NaN
2025-09-05T08:00,NaN,NaN,NaN,NaN,NaN,81,NaN
2025-09-05T09:00,NaN,NaN,NaN,NaN,NaN,74,NaN
2025-09-05T10:00,NaN,NaN,NaN,NaN,NaN,79,NaN
2025-09-05T11:00,NaN,NaN,NaN,NaN,NaN,89,NaN
2025-09-05T12:00,NaN,NaN,NaN,NaN,NaN,90,NaN
2025-09-05T13:00,NaN,NaN,NaN,NaN,NaN,74,NaN
2025-09-05T14:00,NaN,NaN,NaN,NaN,NaN,49,NaN
2025-09-05T15:00,NaN,NaN,NaN,NaN,NaN,29,NaN
2025-09-05T16:00,NaN,NaN,NaN,NaN,NaN,20,NaN
2025-09-05T17:00,NaN,NaN,NaN,NaN,NaN,16,NaN
2025-09-05T18:00,NaN,NaN,NaN,NaN,NaN,13,NaN
2025-09-05T19:00,NaN,NaN,NaN,NaN,NaN,9,NaN
2025-09-05T20:00,NaN,NaN,NaN,NaN,NaN,6,NaN
2025-09-05T21:00,NaN,NaN,NaN,NaN,NaN,3,NaN
2025-09-05T22:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2025-09-05T23:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T00:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T01:00,NaN,NaN,NaN,NaN,NaN,4,NaN
2025-09-06T02:00,NaN,NaN,NaN,NaN,NaN,10,NaN
2025-09-06T03:00,NaN,NaN,NaN,NaN,NaN,13,NaN
2025-09-06T04:00,NaN,NaN,NaN,NaN,NaN,10,NaN
2025-09-06T05:00,NaN,NaN,NaN,NaN,NaN,4,NaN
2025-09-06T06:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T07:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T08:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T09:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T10:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2025-09-06T11:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2025-09-06T12:00,NaN,NaN,NaN,NaN,NaN,3,NaN
2025-09-06T13:00,NaN,NaN,NaN,NaN,NaN,8,NaN
2025-09-06T14:00,NaN,NaN,NaN,NaN,NaN,15,NaN
2025-09-06T15:00,NaN,NaN,NaN,NaN,NaN,19,NaN
2025-09-06T16:00,NaN,NaN,NaN,NaN,NaN,17,NaN
2025-09-06T17:00,NaN,NaN,NaN,NaN,NaN,11,NaN
